ID,Date,Close/Last,Volume,Open,High,Low
896,02/22/2021,126.00,103916400,128.01,129.72,125.60
897,02/19/2021,129.87,87668830,130.24,130.71,128.80
898,02/18/2021,129.71,96856750,129.20,129.995,127.41
899,02/17/2021,130.84,98085250,131.25,132.22,129.47
900,02/16/2021,133.19,80576320,135.49,136.01,132.79
901,02/12/2021,135.37,60145130,134.35,135.53,133.6921
902,02/11/2021,135.13,64280030,135.90,136.39,133.77
903,02/10/2021,135.39,73046560,136.48,136.99,134.40
904,02/09/2021,136.01,76774210,136.62,137.877,135.85
905,02/08/2021,136.91,71297210,136.03,136.96,134.92
906,02/05/2021,136.76,75693830,137.35,137.42,135.86
907,02/04/2021,137.39,84183060,136.30,137.40,134.59
908,02/03/2021,133.94,89880940,135.76,135.77,133.61
909,02/02/2021,134.99,83305370,135.73,136.31,134.61
910,02/01/2021,134.14,106239800,133.75,135.38,130.93
911,01/29/2021,131.96,177523800,135.83,136.74,130.21
912,01/28/2021,137.09,142621100,139.52,141.99,136.70
913,01/27/2021,142.06,140843800,143.43,144.30,140.41
914,01/26/2021,143.16,98390560,143.60,144.30,141.37
915,01/25/2021,142.92,157611700,143.07,145.09,136.54
916,01/22/2021,139.07,114459400,136.28,139.85,135.02
917,01/21/2021,136.87,120529500,133.80,139.67,133.59
918,01/20/2021,132.03,104319500,128.66,132.49,128.55
919,01/19/2021,127.83,90757330,127.78,128.71,126.938
920,01/15/2021,127.14,111598500,128.78,130.2242,127.00
921,01/14/2021,128.91,90221760,130.80,131.00,128.76
922,01/13/2021,130.89,88636830,128.76,131.45,128.49
923,01/12/2021,128.80,91951150,128.50,129.69,126.86
924,01/11/2021,128.98,100620900,129.19,130.17,128.50
925,01/08/2021,132.05,105158200,132.43,132.63,130.23
926,01/07/2021,130.92,109578200,128.36,131.63,127.86
927,01/06/2021,126.60,155088000,127.72,131.0499,126.382
928,01/05/2021,131.01,97664900,128.89,131.74,128.43
929,01/04/2021,129.41,143301900,133.52,133.6116,126.76
930,12/31/2020,132.69,99116590,134.08,134.74,131.72
931,12/30/2020,133.72,96452120,135.58,135.99,133.40
932,12/29/2020,134.87,121047300,138.05,138.789,134.3409
933,12/28/2020,136.69,124486200,133.99,137.34,133.51
934,12/24/2020,131.97,54930060,131.32,133.46,131.10
935,12/23/2020,130.96,88223690,132.16,132.43,130.78
